"gamedate","gametype","team1","score1","score2","team2"
"2003-04-12","東京六大学","法政",0,1,"慶應"
"2003-04-13","東京六大学","慶應",5,3,"法政"
"2003-04-13","東京六大学","早稲田",18,0,"東大"
"2003-04-19","東京六大学","明治",7,2,"東大"
"2003-04-19","東京六大学","法政",9,5,"立教"
"2003-04-20","東京六大学","東大",0,8,"明治"
"2003-04-20","東京六大学","立教",11,4,"法政"
"2003-04-21","東京六大学","法政",1,0,"立教"
"2003-04-26","東京六大学","慶應",6,1,"明治"
"2003-04-26","東京六大学","立教",4,7,"早稲田"
"2003-04-27","東京六大学","早稲田",5,2,"立教"
"2003-04-27","東京六大学","明治",3,1,"慶應"
"2003-04-28","東京六大学","慶應",1,4,"明治"
"2003-05-03","東京六大学","早稲田",16,3,"法政"
"2003-05-03","東京六大学","東大",0,1,"慶應"
"2003-05-04","東京六大学","慶應",5,0,"東大"
"2003-05-04","東京六大学","法政",2,10,"早稲田"
"2003-05-10","東京六大学","明治",2,1,"法政"
"2003-05-10","東京六大学","東大",2,5,"立教"
"2003-05-11","東京六大学","法政",2,9,"明治"
"2003-05-11","東京六大学","立教",7,1,"東大"
"2003-05-17","東京六大学","早稲田",6,0,"明治"
"2003-05-17","東京六大学","立教",0,4,"慶應"
"2003-05-18","東京六大学","慶應",2,0,"立教"
"2003-05-18","東京六大学","明治",7,3,"早稲田"
"2003-05-20","東京六大学","早稲田",4,3,"明治"
"2003-05-24","東京六大学","明治",3,1,"立教"
"2003-05-24","東京六大学","東大",1,15,"法政"
"2003-05-25","東京六大学","法政",17,0,"東大"
"2003-05-25","東京六大学","立教",2,3,"明治"
"2003-06-01","東京六大学","慶應",7,10,"早稲田"
"2003-06-02","東京六大学","慶應",5,3,"法政"
"2003-06-02","東京六大学","慶應",6,1,"明治"
"2003-06-02","東京六大学","慶應",1,4,"明治"
"2003-06-02","東京六大学","慶應",5,0,"東大"
"2003-06-02","東京六大学","慶應",2,0,"立教"
"2003-06-02","東京六大学","慶應",7,10,"早稲田"
"2003-06-02","東京六大学","早稲田",18,0,"東大"
"2003-06-02","東京六大学","早稲田",5,2,"立教"
"2003-06-02","東京六大学","早稲田",16,3,"法政"
"2003-06-02","東京六大学","早稲田",6,0,"明治"
"2003-06-02","東京六大学","早稲田",4,3,"明治"
"2003-06-02","東京六大学","早稲田",11,1,"慶應"
"2003-06-02","東京六大学","明治",7,2,"東大"
"2003-06-02","東京六大学","明治",3,1,"慶應"
"2003-06-02","東京六大学","明治",2,1,"法政"
"2003-06-02","東京六大学","明治",7,3,"早稲田"
"2003-06-02","東京六大学","明治",3,1,"立教"
"2003-06-02","東京六大学","東大",0,10,"早稲田"
"2003-06-02","東京六大学","東大",0,8,"明治"
"2003-06-02","東京六大学","東大",0,1,"慶應"
"2003-06-02","東京六大学","東大",2,5,"立教"
"2003-06-02","東京六大学","東大",1,15,"法政"
"2003-06-02","東京六大学","法政",0,1,"慶應"
"2003-06-02","東京六大学","法政",9,5,"立教"
"2003-06-02","東京六大学","法政",1,0,"立教"
"2003-06-02","東京六大学","法政",2,10,"早稲田"
"2003-06-02","東京六大学","法政",2,9,"明治"
"2003-06-02","東京六大学","法政",17,0,"東大"
"2003-06-02","東京六大学","立教",11,4,"法政"
"2003-06-02","東京六大学","立教",4,7,"早稲田"
"2003-06-02","東京六大学","立教",7,1,"東大"
"2003-06-02","東京六大学","立教",0,4,"慶應"
"2003-06-02","東京六大学","立教",2,3,"明治"
"2003-09-13","東京六大学","東大",1,5,"早稲田"
"2003-09-13","東京六大学","立教",2,5,"慶應"
"2003-09-14","東京六大学","慶應",7,1,"立教"
"2003-09-14","東京六大学","早稲田",15,0,"東大"
"2003-09-20","東京六大学","東大",2,3,"明治"
"2003-09-22","東京六大学","明治",4,2,"東大"
"2003-09-22","東京六大学","立教",2,3,"法政"
"2003-09-23","東京六大学","法政",2,1,"立教"
"2003-09-27","東京六大学","慶應",3,4,"明治"
"2003-09-27","東京六大学","早稲田",7,4,"法政"
"2003-09-28","東京六大学","明治",1,1,"慶應"
"2003-09-28","東京六大学","法政",2,3,"早稲田"
"2003-09-29","東京六大学","慶應",1,4,"明治"
"2003-10-04","東京六大学","東大",3,4,"慶應"
"2003-10-04","東京六大学","立教",4,6,"早稲田"
